formula,alpha,k,weighting,catatan
linear,0.0,1,similarity,"Tahap 2 RM-c (eksplorasi), fusi linear-konveks produksi, alpha=0,0 -- baseline wajib: head RM-b itu sendiri. Satu baris saja karena k tidak berpengaruh pada alpha=0."
linear,0.1,1,similarity,"Tahap 2 RM-c, fusi linear-konveks produksi (rac.py), alpha=0,1 k=1."
linear,0.1,3,similarity,"Tahap 2 RM-c, fusi linear-konveks produksi (rac.py), alpha=0,1 k=3."
linear,0.1,5,similarity,"Tahap 2 RM-c, fusi linear-konveks produksi (rac.py), alpha=0,1 k=5."
linear,0.1,10,similarity,"Tahap 2 RM-c, fusi linear-konveks produksi (rac.py), alpha=0,1 k=10."
linear,0.1,20,similarity,"Tahap 2 RM-c, fusi linear-konveks produksi (rac.py), alpha=0,1 k=20."
linear,0.1,50,similarity,"Tahap 2 RM-c, fusi linear-konveks produksi (rac.py), alpha=0,1 k=50."
linear,0.2,1,similarity,"Tahap 2 RM-c, fusi linear-konveks produksi (rac.py), alpha=0,2 k=1."
linear,0.2,3,similarity,"Tahap 2 RM-c, fusi linear-konveks produksi (rac.py), alpha=0,2 k=3."
linear,0.2,5,similarity,"Tahap 2 RM-c, fusi linear-konveks produksi (rac.py), alpha=0,2 k=5."
linear,0.2,10,similarity,"Tahap 2 RM-c, fusi linear-konveks produksi (rac.py), alpha=0,2 k=10."
linear,0.2,20,similarity,"Tahap 2 RM-c, fusi linear-konveks produksi (rac.py), alpha=0,2 k=20."
linear,0.2,50,similarity,"Tahap 2 RM-c, fusi linear-konveks produksi (rac.py), alpha=0,2 k=50."
linear,0.3,1,similarity,"Tahap 2 RM-c, fusi linear-konveks produksi (rac.py), alpha=0,3 k=1."
linear,0.3,3,similarity,"Tahap 2 RM-c, fusi linear-konveks produksi (rac.py), alpha=0,3 k=3."
linear,0.3,5,similarity,"Tahap 2 RM-c, fusi linear-konveks produksi (rac.py), alpha=0,3 k=5."
linear,0.3,10,similarity,"Tahap 2 RM-c, fusi linear-konveks produksi (rac.py), alpha=0,3 k=10."
linear,0.3,20,similarity,"Tahap 2 RM-c, fusi linear-konveks produksi (rac.py), alpha=0,3 k=20."
linear,0.3,50,similarity,"Tahap 2 RM-c, fusi linear-konveks produksi (rac.py), alpha=0,3 k=50."
linear,0.4,1,similarity,"Tahap 2 RM-c, fusi linear-konveks produksi (rac.py), alpha=0,4 k=1."
linear,0.4,3,similarity,"Tahap 2 RM-c, fusi linear-konveks produksi (rac.py), alpha=0,4 k=3."
linear,0.4,5,similarity,"Tahap 2 RM-c, fusi linear-konveks produksi (rac.py), alpha=0,4 k=5."
linear,0.4,10,similarity,"Tahap 2 RM-c, fusi linear-konveks produksi (rac.py), alpha=0,4 k=10."
linear,0.4,20,similarity,"Tahap 2 RM-c, fusi linear-konveks produksi (rac.py), alpha=0,4 k=20."
linear,0.4,50,similarity,"Tahap 2 RM-c, fusi linear-konveks produksi (rac.py), alpha=0,4 k=50."
linear,0.5,1,similarity,"Tahap 2 RM-c, fusi linear-konveks produksi (rac.py), alpha=0,5 k=1."
linear,0.5,3,similarity,"Tahap 2 RM-c, fusi linear-konveks produksi (rac.py), alpha=0,5 k=3."
linear,0.5,5,similarity,"Tahap 2 RM-c, fusi linear-konveks produksi (rac.py), alpha=0,5 k=5."
linear,0.5,10,similarity,"Tahap 2 RM-c, fusi linear-konveks produksi (rac.py), alpha=0,5 k=10."
linear,0.5,20,similarity,"Tahap 2 RM-c, fusi linear-konveks produksi (rac.py), alpha=0,5 k=20."
linear,0.5,50,similarity,"Tahap 2 RM-c, fusi linear-konveks produksi (rac.py), alpha=0,5 k=50."
linear,0.6,1,similarity,"Tahap 2 RM-c, fusi linear-konveks produksi (rac.py), alpha=0,6 k=1."
linear,0.6,3,similarity,"Tahap 2 RM-c, fusi linear-konveks produksi (rac.py), alpha=0,6 k=3."
linear,0.6,5,similarity,"Tahap 2 RM-c, fusi linear-konveks produksi (rac.py), alpha=0,6 k=5."
linear,0.6,10,similarity,"Tahap 2 RM-c, fusi linear-konveks produksi (rac.py), alpha=0,6 k=10."
linear,0.6,20,similarity,"Tahap 2 RM-c, fusi linear-konveks produksi (rac.py), alpha=0,6 k=20."
linear,0.6,50,similarity,"Tahap 2 RM-c, fusi linear-konveks produksi (rac.py), alpha=0,6 k=50."
linear,0.7,1,similarity,"Tahap 2 RM-c, fusi linear-konveks produksi (rac.py), alpha=0,7 k=1."
linear,0.7,3,similarity,"Tahap 2 RM-c, fusi linear-konveks produksi (rac.py), alpha=0,7 k=3."
linear,0.7,5,similarity,"Tahap 2 RM-c, fusi linear-konveks produksi (rac.py), alpha=0,7 k=5."
linear,0.7,10,similarity,"Tahap 2 RM-c, fusi linear-konveks produksi (rac.py), alpha=0,7 k=10."
linear,0.7,20,similarity,"Tahap 2 RM-c, fusi linear-konveks produksi (rac.py), alpha=0,7 k=20."
linear,0.7,50,similarity,"Tahap 2 RM-c, fusi linear-konveks produksi (rac.py), alpha=0,7 k=50."
linear,0.8,1,similarity,"Tahap 2 RM-c, fusi linear-konveks produksi (rac.py), alpha=0,8 k=1."
linear,0.8,3,similarity,"Tahap 2 RM-c, fusi linear-konveks produksi (rac.py), alpha=0,8 k=3."
linear,0.8,5,similarity,"Tahap 2 RM-c, fusi linear-konveks produksi (rac.py), alpha=0,8 k=5."
linear,0.8,10,similarity,"Tahap 2 RM-c, fusi linear-konveks produksi (rac.py), alpha=0,8 k=10."
linear,0.8,20,similarity,"Tahap 2 RM-c, fusi linear-konveks produksi (rac.py), alpha=0,8 k=20."
linear,0.8,50,similarity,"Tahap 2 RM-c, fusi linear-konveks produksi (rac.py), alpha=0,8 k=50."
linear,0.9,1,similarity,"Tahap 2 RM-c, fusi linear-konveks produksi (rac.py), alpha=0,9 k=1."
linear,0.9,3,similarity,"Tahap 2 RM-c, fusi linear-konveks produksi (rac.py), alpha=0,9 k=3."
linear,0.9,5,similarity,"Tahap 2 RM-c, fusi linear-konveks produksi (rac.py), alpha=0,9 k=5."
linear,0.9,10,similarity,"Tahap 2 RM-c, fusi linear-konveks produksi (rac.py), alpha=0,9 k=10."
linear,0.9,20,similarity,"Tahap 2 RM-c, fusi linear-konveks produksi (rac.py), alpha=0,9 k=20."
linear,0.9,50,similarity,"Tahap 2 RM-c, fusi linear-konveks produksi (rac.py), alpha=0,9 k=50."
linear,1.0,1,similarity,"Tahap 2 RM-c, fusi linear-konveks produksi (rac.py), alpha=1,0 k=1."
linear,1.0,3,similarity,"Tahap 2 RM-c, fusi linear-konveks produksi (rac.py), alpha=1,0 k=3."
linear,1.0,5,similarity,"Tahap 2 RM-c, fusi linear-konveks produksi (rac.py), alpha=1,0 k=5."
linear,1.0,10,similarity,"Tahap 2 RM-c, fusi linear-konveks produksi (rac.py), alpha=1,0 k=10."
linear,1.0,20,similarity,"Tahap 2 RM-c, fusi linear-konveks produksi (rac.py), alpha=1,0 k=20."
linear,1.0,50,similarity,"Tahap 2 RM-c, fusi linear-konveks produksi (rac.py), alpha=1,0 k=50."
rumus4,0.1,1,similarity,"Tahap 2 RM-c, Rumus 4 geometric pooling / product-of-experts, alpha=0,1 k=1. Ujung alpha=0 dan alpha=1 dibuang karena identik dengan ujung fusi linear."
rumus4,0.1,3,similarity,"Tahap 2 RM-c, Rumus 4 geometric pooling / product-of-experts, alpha=0,1 k=3. Ujung alpha=0 dan alpha=1 dibuang karena identik dengan ujung fusi linear."
rumus4,0.1,5,similarity,"Tahap 2 RM-c, Rumus 4 geometric pooling / product-of-experts, alpha=0,1 k=5. Ujung alpha=0 dan alpha=1 dibuang karena identik dengan ujung fusi linear."
rumus4,0.1,10,similarity,"Tahap 2 RM-c, Rumus 4 geometric pooling / product-of-experts, alpha=0,1 k=10. Ujung alpha=0 dan alpha=1 dibuang karena identik dengan ujung fusi linear."
rumus4,0.1,20,similarity,"Tahap 2 RM-c, Rumus 4 geometric pooling / product-of-experts, alpha=0,1 k=20. Ujung alpha=0 dan alpha=1 dibuang karena identik dengan ujung fusi linear."
rumus4,0.1,50,similarity,"Tahap 2 RM-c, Rumus 4 geometric pooling / product-of-experts, alpha=0,1 k=50. Ujung alpha=0 dan alpha=1 dibuang karena identik dengan ujung fusi linear."
rumus4,0.2,1,similarity,"Tahap 2 RM-c, Rumus 4 geometric pooling / product-of-experts, alpha=0,2 k=1. Ujung alpha=0 dan alpha=1 dibuang karena identik dengan ujung fusi linear."
rumus4,0.2,3,similarity,"Tahap 2 RM-c, Rumus 4 geometric pooling / product-of-experts, alpha=0,2 k=3. Ujung alpha=0 dan alpha=1 dibuang karena identik dengan ujung fusi linear."
rumus4,0.2,5,similarity,"Tahap 2 RM-c, Rumus 4 geometric pooling / product-of-experts, alpha=0,2 k=5. Ujung alpha=0 dan alpha=1 dibuang karena identik dengan ujung fusi linear."
rumus4,0.2,10,similarity,"Tahap 2 RM-c, Rumus 4 geometric pooling / product-of-experts, alpha=0,2 k=10. Ujung alpha=0 dan alpha=1 dibuang karena identik dengan ujung fusi linear."
rumus4,0.2,20,similarity,"Tahap 2 RM-c, Rumus 4 geometric pooling / product-of-experts, alpha=0,2 k=20. Ujung alpha=0 dan alpha=1 dibuang karena identik dengan ujung fusi linear."
rumus4,0.2,50,similarity,"Tahap 2 RM-c, Rumus 4 geometric pooling / product-of-experts, alpha=0,2 k=50. Ujung alpha=0 dan alpha=1 dibuang karena identik dengan ujung fusi linear."
rumus4,0.3,1,similarity,"Tahap 2 RM-c, Rumus 4 geometric pooling / product-of-experts, alpha=0,3 k=1. Ujung alpha=0 dan alpha=1 dibuang karena identik dengan ujung fusi linear."
rumus4,0.3,3,similarity,"Tahap 2 RM-c, Rumus 4 geometric pooling / product-of-experts, alpha=0,3 k=3. Ujung alpha=0 dan alpha=1 dibuang karena identik dengan ujung fusi linear."
rumus4,0.3,5,similarity,"Tahap 2 RM-c, Rumus 4 geometric pooling / product-of-experts, alpha=0,3 k=5. Ujung alpha=0 dan alpha=1 dibuang karena identik dengan ujung fusi linear."
