run_id,scenario,batch_id,model_name,lr,epochs,batch,warmup_ratio,weight_decay,micro_batch,seed,micro_batch_eff,grad_accum,val_f1_macro,val_acc,val_precision_macro,val_recall_macro,val_f1_judi,best_epoch,train_time_s,peak_mem_mb,trainable_params,catatan,overfit_signal,timestamp,delta_vs_best_f1_macro_pp,is_tie_with_best
1,rma,,indobenchmark/indobert-lite-base-p2,2e-05,5,16,0.1,0.01,8,42,8,2,0.968554,0.981455,0.976013,0.961487,0.948413,4,703.59,606.7,11685378,"kalibrasi biaya lokal (lite): baseline kanonik sama dengan base, sekaligus run #1 grid",True,2026-09-07 20:44:17,,
2,rma,rma_lite_tahap1_grid,indobenchmark/indobert-lite-base-p2,2e-05,5,16,0.1,0.01,32,42,16,1,0.968843,0.981455,0.971733,0.966014,0.94902,3,571.6,927.7,11685378,"Grid kombinatorial RM-a, sel lr=2e-05 / epochs=5 / batch=16; warmup 0.1 & wd 0.01 dikunci. Baseline kanonik IndoNLU/Devlin -- titik acuan seluruh grid.",True,2026-09-07 20:55:39,0.0289,True
3,rma,rma_lite_tahap1_grid,indobenchmark/indobert-lite-base-p2,2e-05,3,16,0.1,0.01,32,42,16,1,0.962908,0.977889,0.965037,0.960813,0.939335,1,340.93,927.3,11685378,"Grid kombinatorial RM-a, sel lr=2e-05 / epochs=3 / batch=16; warmup 0.1 & wd 0.01 dikunci. Apakah lr kanonik cukup dengan anggaran lebih pendek? Cek underfit.",True,2026-09-07 21:01:31,-0.5935,False
4,rma,rma_lite_tahap1_grid,indobenchmark/indobert-lite-base-p2,2e-05,8,16,0.1,0.01,32,42,16,1,0.965924,0.980029,0.976537,0.956087,0.944,7,920.65,927.3,11685378,"Grid kombinatorial RM-a, sel lr=2e-05 / epochs=8 / batch=16; warmup 0.1 & wd 0.01 dikunci. Anggaran terbesar pada lr kanonik -- masih naik atau mulai overfit?",True,2026-09-07 21:16:53,-0.2919,False
5,rma,rma_lite_tahap1_grid,indobenchmark/indobert-lite-base-p2,1e-05,5,16,0.1,0.01,32,42,16,1,0.972396,0.983595,0.976056,0.968833,0.954813,3,623.47,927.3,11685378,"Grid kombinatorial RM-a, sel lr=1e-05 / epochs=5 / batch=16; warmup 0.1 & wd 0.01 dikunci. lr konservatif, anggaran standar: kestabilan (Sun 2019) vs konvergensi lambat.",True,2026-09-07 21:27:19,0.3553,False
6,rma,rma_lite_tahap1_grid,indobenchmark/indobert-lite-base-p2,1e-05,3,16,0.1,0.01,32,42,16,1,0.966446,0.980029,0.969322,0.963631,0.945098,3,349.94,927.3,11685378,"Grid kombinatorial RM-a, sel lr=1e-05 / epochs=3 / batch=16; warmup 0.1 & wd 0.01 dikunci. Kandidat underfit di batch 16 -- batas bawah yang berguna.",False,2026-09-07 21:33:22,-0.595,False
7,rma,rma_lite_tahap1_grid,indobenchmark/indobert-lite-base-p2,1e-05,8,16,0.1,0.01,32,42,16,1,0.971414,0.982882,0.971414,0.971414,0.953307,2,961.19,927.3,11685378,"Grid kombinatorial RM-a, sel lr=1e-05 / epochs=8 / batch=16; warmup 0.1 & wd 0.01 dikunci. lr kecil dikompensasi anggaran terbesar -- cukupkah bila diberi waktu?",True,2026-09-07 21:49:25,-0.0982,True
8,rma,rma_lite_tahap1_grid,indobenchmark/indobert-lite-base-p2,3e-05,5,16,0.1,0.01,32,42,16,1,0.96624,0.980029,0.972114,0.960614,0.944664,4,570.9,927.3,11685378,"Grid kombinatorial RM-a, sel lr=3e-05 / epochs=5 / batch=16; warmup 0.1 & wd 0.01 dikunci. lr tengah GLUE, anggaran standar; kandidat kuat bila 2e-5 terlalu lambat.",True,2026-09-07 21:58:58,-0.6156,False
9,rma,rma_lite_tahap1_grid,indobenchmark/indobert-lite-base-p2,3e-05,3,16,0.1,0.01,32,42,16,1,0.965406,0.979315,0.966112,0.964704,0.94347,3,342.19,927.3,11685378,"Grid kombinatorial RM-a, sel lr=3e-05 / epochs=3 / batch=16; warmup 0.1 & wd 0.01 dikunci. Konvergensi cepat menghemat waktu tanpa rugi F1?",False,2026-09-07 22:04:42,-0.699,False
10,rma,rma_lite_tahap1_grid,indobenchmark/indobert-lite-base-p2,3e-05,8,16,0.1,0.01,32,42,16,1,0.972311,0.983595,0.97749,0.967324,0.954635,6,905.89,927.3,11685378,"Grid kombinatorial RM-a, sel lr=3e-05 / epochs=8 / batch=16; warmup 0.1 & wd 0.01 dikunci. lr tengah + anggaran maksimum -- titik rawan overfit.",True,2026-09-07 22:19:50,-0.0085,True
11,rma,rma_lite_tahap1_grid,indobenchmark/indobert-lite-base-p2,5e-05,5,16,0.1,0.01,32,42,16,1,0.959624,0.975749,0.958252,0.961011,0.934109,5,558.63,927.3,11685378,"Grid kombinatorial RM-a, sel lr=5e-05 / epochs=5 / batch=16; warmup 0.1 & wd 0.01 dikunci. Batas atas GLUE -- uji ambang catastrophic forgetting.",False,2026-09-07 22:29:11,-1.2772,False
12,rma,rma_lite_tahap1_grid,indobenchmark/indobert-lite-base-p2,5e-05,3,16,0.1,0.01,32,42,16,1,0.965301,0.979315,0.967441,0.963195,0.943249,3,330.27,927.3,11685378,"Grid kombinatorial RM-a, sel lr=5e-05 / epochs=3 / batch=16; warmup 0.1 & wd 0.01 dikunci. Skenario 'cepat & panas' -- paling hemat waktu bila berhasil.",False,2026-09-07 22:34:43,-0.7095,False
13,rma,rma_lite_tahap1_grid,indobenchmark/indobert-lite-base-p2,5e-05,8,16,0.1,0.01,32,42,16,1,0.967294,0.980742,0.975522,0.959542,0.946322,8,888.41,927.3,11685378,"Grid kombinatorial RM-a, sel lr=5e-05 / epochs=8 / batch=16; warmup 0.1 & wd 0.01 dikunci. Paling berisiko merusak bobot pra-latih -- batas atas.",False,2026-09-07 22:49:34,-0.5102,False
14,rma,rma_lite_tahap1_grid,indobenchmark/indobert-lite-base-p2,2e-05,5,32,0.1,0.01,32,42,32,1,0.971151,0.982882,0.975556,0.966887,0.952756,5,468.22,1665.8,11685378,"Grid kombinatorial RM-a, sel lr=2e-05 / epochs=5 / batch=32; warmup 0.1 & wd 0.01 dikunci. Pasangan langsung #1, batch digandakan -- inti uji interaksi lr x batch.",False,2026-09-07 22:57:24,-0.1245,True
15,rma,rma_lite_tahap1_grid,indobenchmark/indobert-lite-base-p2,2e-05,3,32,0.1,0.01,32,42,32,1,0.97124,0.982882,0.974145,0.968396,0.952941,3,292.09,1665.8,11685378,"Grid kombinatorial RM-a, sel lr=2e-05 / epochs=3 / batch=32; warmup 0.1 & wd 0.01 dikunci. Anggaran paling minim di grid -- batas bawah ekstrem.",False,2026-09-07 23:02:18,-0.1156,True
16,rma,rma_lite_tahap1_grid,indobenchmark/indobert-lite-base-p2,2e-05,8,32,0.1,0.01,32,42,32,1,0.964267,0.978602,0.964267,0.964267,0.941634,3,784.54,1665.8,11685378,"Grid kombinatorial RM-a, sel lr=2e-05 / epochs=8 / batch=32; warmup 0.1 & wd 0.01 dikunci. Batch besar + epoch terbanyak; gradien lebih halus dari #1.",True,2026-09-07 23:15:24,-0.8129,False
17,rma,rma_lite_tahap1_grid,indobenchmark/indobert-lite-base-p2,1e-05,5,32,0.1,0.01,32,42,32,1,0.973636,0.984308,0.976556,0.970778,0.956863,5,459.97,1665.8,11685378,"Grid kombinatorial RM-a, sel lr=1e-05 / epochs=5 / batch=32; warmup 0.1 & wd 0.01 dikunci. lr terkecil + update sedikit -- kandidat underfit terkuat.",False,2026-09-07 23:23:06,0.124,True
18,rma,rma_lite_tahap1_grid,indobenchmark/indobert-lite-base-p2,1e-05,3,32,0.1,0.01,32,42,32,1,0.970087,0.982168,0.972249,0.967959,0.951076,3,288.29,1665.8,11685378,"Grid kombinatorial RM-a, sel lr=1e-05 / epochs=3 / batch=32; warmup 0.1 & wd 0.01 dikunci. Sel paling konservatif -- jangkar batas bawah.",False,2026-09-07 23:28:02,-0.3549,False
19,rma,rma_lite_tahap1_grid,indobenchmark/indobert-lite-base-p2,1e-05,8,32,0.1,0.01,32,42,32,1,0.964267,0.978602,0.964267,0.964267,0.941634,6,795.37,1665.8,11685378,"Grid kombinatorial RM-a, sel lr=1e-05 / epochs=8 / batch=32; warmup 0.1 & wd 0.01 dikunci. Cukupkah epoch maksimum mengompensasi lr rendah + batch besar?",True,2026-09-07 23:41:20,-0.9369,False
20,rma,rma_lite_tahap1_grid,indobenchmark/indobert-lite-base-p2,3e-05,5,32,0.1,0.01,32,42,32,1,0.965088,0.979315,0.970187,0.960177,0.942801,3,496.29,1665.8,11685378,"Grid kombinatorial RM-a, sel lr=3e-05 / epochs=5 / batch=32; warmup 0.1 & wd 0.01 dikunci. Uji linear scaling rule: 3e-5 kalahkan 2e-5 saat batch digandakan?",True,2026-09-07 23:49:38,-0.8548,False
21,rma,rma_lite_tahap1_grid,indobenchmark/indobert-lite-base-p2,3e-05,3,32,0.1,0.01,32,42,32,1,0.962794,0.977889,0.96638,0.959304,0.939096,3,275.01,1665.8,11685378,"Grid kombinatorial RM-a, sel lr=3e-05 / epochs=3 / batch=32; warmup 0.1 & wd 0.01 dikunci. lr tengah + anggaran minim -- efisiensi ekstrem.",False,2026-09-07 23:54:15,-1.0842,False
22,rma,rma_lite_tahap1_grid,indobenchmark/indobert-lite-base-p2,3e-05,8,32,0.1,0.01,32,42,32,1,0.967496,0.980742,0.972622,0.962559,0.946746,3,728.0,1665.8,11685378,"Grid kombinatorial RM-a, sel lr=3e-05 / epochs=8 / batch=32; warmup 0.1 & wd 0.01 dikunci. lr tengah + batch besar + epoch maksimum -- kandidat seimbang.",True,2026-09-08 00:06:24,-0.614,False
23,rma,rma_lite_tahap1_grid,indobenchmark/indobert-lite-base-p2,5e-05,5,32,0.1,0.01,32,42,32,1,0.971063,0.982882,0.976997,0.965378,0.952569,5,461.33,1665.8,11685378,"Grid kombinatorial RM-a, sel lr=5e-05 / epochs=5 / batch=32; warmup 0.1 & wd 0.01 dikunci. Prediksi linear scaling: lr tinggi paling masuk akal di batch besar.",False,2026-09-08 00:14:07,-0.2573,False
24,rma,rma_lite_tahap1_grid,indobenchmark/indobert-lite-base-p2,5e-05,3,32,0.1,0.01,32,42,32,1,0.967792,0.980742,0.968501,0.967086,0.947368,3,273.12,1665.8,11685378,"Grid kombinatorial RM-a, sel lr=5e-05 / epochs=3 / batch=32; warmup 0.1 & wd 0.01 dikunci. lr agresif + update paling sedikit -- batas forgetting anggaran minim.",False,2026-09-08 00:18:42,-0.5844,False
