alpha,k,weighting,catatan
0.0,1,similarity,"Grid RM-c (weighting=similarity dikunci, head RM-b run#28), alpha=0,0 k=1 -- baseline murni head RM-b (retrieval diabaikan sepenuhnya) -- pembanding wajib: apakah RAC memperbaiki RM-b sama sekali?"
0.0,3,similarity,"Grid RM-c (weighting=similarity dikunci, head RM-b run#28), alpha=0,0 k=3 -- baseline murni head RM-b (retrieval diabaikan sepenuhnya) -- pembanding wajib: apakah RAC memperbaiki RM-b sama sekali?"
0.0,5,similarity,"Grid RM-c (weighting=similarity dikunci, head RM-b run#28), alpha=0,0 k=5 -- baseline murni head RM-b (retrieval diabaikan sepenuhnya) -- pembanding wajib: apakah RAC memperbaiki RM-b sama sekali?"
0.0,10,similarity,"Grid RM-c (weighting=similarity dikunci, head RM-b run#28), alpha=0,0 k=10 -- baseline murni head RM-b (retrieval diabaikan sepenuhnya) -- pembanding wajib: apakah RAC memperbaiki RM-b sama sekali?"
0.0,20,similarity,"Grid RM-c (weighting=similarity dikunci, head RM-b run#28), alpha=0,0 k=20 -- baseline murni head RM-b (retrieval diabaikan sepenuhnya) -- pembanding wajib: apakah RAC memperbaiki RM-b sama sekali?"
0.0,50,similarity,"Grid RM-c (weighting=similarity dikunci, head RM-b run#28), alpha=0,0 k=50 -- baseline murni head RM-b (retrieval diabaikan sepenuhnya) -- pembanding wajib: apakah RAC memperbaiki RM-b sama sekali?"
0.1,1,similarity,"Grid RM-c (weighting=similarity dikunci, head RM-b run#28), alpha=0.1 k=1 -- memetakan bobot fusi optimal x jumlah tetangga tanpa training tambahan."
0.1,3,similarity,"Grid RM-c (weighting=similarity dikunci, head RM-b run#28), alpha=0.1 k=3 -- memetakan bobot fusi optimal x jumlah tetangga tanpa training tambahan."
0.1,5,similarity,"Grid RM-c (weighting=similarity dikunci, head RM-b run#28), alpha=0.1 k=5 -- memetakan bobot fusi optimal x jumlah tetangga tanpa training tambahan."
0.1,10,similarity,"Grid RM-c (weighting=similarity dikunci, head RM-b run#28), alpha=0.1 k=10 -- memetakan bobot fusi optimal x jumlah tetangga tanpa training tambahan."
0.1,20,similarity,"Grid RM-c (weighting=similarity dikunci, head RM-b run#28), alpha=0.1 k=20 -- memetakan bobot fusi optimal x jumlah tetangga tanpa training tambahan."
0.1,50,similarity,"Grid RM-c (weighting=similarity dikunci, head RM-b run#28), alpha=0.1 k=50 -- memetakan bobot fusi optimal x jumlah tetangga tanpa training tambahan."
0.2,1,similarity,"Grid RM-c (weighting=similarity dikunci, head RM-b run#28), alpha=0.2 k=1 -- memetakan bobot fusi optimal x jumlah tetangga tanpa training tambahan."
0.2,3,similarity,"Grid RM-c (weighting=similarity dikunci, head RM-b run#28), alpha=0.2 k=3 -- memetakan bobot fusi optimal x jumlah tetangga tanpa training tambahan."
0.2,5,similarity,"Grid RM-c (weighting=similarity dikunci, head RM-b run#28), alpha=0.2 k=5 -- memetakan bobot fusi optimal x jumlah tetangga tanpa training tambahan."
0.2,10,similarity,"Grid RM-c (weighting=similarity dikunci, head RM-b run#28), alpha=0.2 k=10 -- memetakan bobot fusi optimal x jumlah tetangga tanpa training tambahan."
0.2,20,similarity,"Grid RM-c (weighting=similarity dikunci, head RM-b run#28), alpha=0.2 k=20 -- memetakan bobot fusi optimal x jumlah tetangga tanpa training tambahan."
0.2,50,similarity,"Grid RM-c (weighting=similarity dikunci, head RM-b run#28), alpha=0.2 k=50 -- memetakan bobot fusi optimal x jumlah tetangga tanpa training tambahan."
0.3,1,similarity,"Grid RM-c (weighting=similarity dikunci, head RM-b run#28), alpha=0.3 k=1 -- memetakan bobot fusi optimal x jumlah tetangga tanpa training tambahan."
0.3,3,similarity,"Grid RM-c (weighting=similarity dikunci, head RM-b run#28), alpha=0.3 k=3 -- memetakan bobot fusi optimal x jumlah tetangga tanpa training tambahan."
0.3,5,similarity,"Grid RM-c (weighting=similarity dikunci, head RM-b run#28), alpha=0.3 k=5 -- memetakan bobot fusi optimal x jumlah tetangga tanpa training tambahan."
0.3,10,similarity,"Grid RM-c (weighting=similarity dikunci, head RM-b run#28), alpha=0.3 k=10 -- memetakan bobot fusi optimal x jumlah tetangga tanpa training tambahan."
0.3,20,similarity,"Grid RM-c (weighting=similarity dikunci, head RM-b run#28), alpha=0.3 k=20 -- memetakan bobot fusi optimal x jumlah tetangga tanpa training tambahan."
0.3,50,similarity,"Grid RM-c (weighting=similarity dikunci, head RM-b run#28), alpha=0.3 k=50 -- memetakan bobot fusi optimal x jumlah tetangga tanpa training tambahan."
0.4,1,similarity,"Grid RM-c (weighting=similarity dikunci, head RM-b run#28), alpha=0.4 k=1 -- memetakan bobot fusi optimal x jumlah tetangga tanpa training tambahan."
0.4,3,similarity,"Grid RM-c (weighting=similarity dikunci, head RM-b run#28), alpha=0.4 k=3 -- memetakan bobot fusi optimal x jumlah tetangga tanpa training tambahan."
0.4,5,similarity,"Grid RM-c (weighting=similarity dikunci, head RM-b run#28), alpha=0.4 k=5 -- memetakan bobot fusi optimal x jumlah tetangga tanpa training tambahan."
0.4,10,similarity,"Grid RM-c (weighting=similarity dikunci, head RM-b run#28), alpha=0.4 k=10 -- memetakan bobot fusi optimal x jumlah tetangga tanpa training tambahan."
0.4,20,similarity,"Grid RM-c (weighting=similarity dikunci, head RM-b run#28), alpha=0.4 k=20 -- memetakan bobot fusi optimal x jumlah tetangga tanpa training tambahan."
