lr,epochs,batch,warmup_ratio,weight_decay,micro_batch,catatan
2e-05,5,16,0.1,0.01,32,"Grid kombinatorial RM-a, sel lr=2e-05 / epochs=5 / batch=16; warmup 0.1 & wd 0.01 dikunci. Baseline kanonik IndoNLU/Devlin -- titik acuan seluruh grid."
2e-05,3,16,0.1,0.01,32,"Grid kombinatorial RM-a, sel lr=2e-05 / epochs=3 / batch=16; warmup 0.1 & wd 0.01 dikunci. Apakah lr kanonik cukup dengan anggaran lebih pendek? Cek underfit."
2e-05,8,16,0.1,0.01,32,"Grid kombinatorial RM-a, sel lr=2e-05 / epochs=8 / batch=16; warmup 0.1 & wd 0.01 dikunci. Anggaran terbesar pada lr kanonik -- masih naik atau mulai overfit?"
1e-05,5,16,0.1,0.01,32,"Grid kombinatorial RM-a, sel lr=1e-05 / epochs=5 / batch=16; warmup 0.1 & wd 0.01 dikunci. lr konservatif, anggaran standar: kestabilan (Sun 2019) vs konvergensi lambat."
1e-05,3,16,0.1,0.01,32,"Grid kombinatorial RM-a, sel lr=1e-05 / epochs=3 / batch=16; warmup 0.1 & wd 0.01 dikunci. Kandidat underfit di batch 16 -- batas bawah yang berguna."
1e-05,8,16,0.1,0.01,32,"Grid kombinatorial RM-a, sel lr=1e-05 / epochs=8 / batch=16; warmup 0.1 & wd 0.01 dikunci. lr kecil dikompensasi anggaran terbesar -- cukupkah bila diberi waktu?"
3e-05,5,16,0.1,0.01,32,"Grid kombinatorial RM-a, sel lr=3e-05 / epochs=5 / batch=16; warmup 0.1 & wd 0.01 dikunci. lr tengah GLUE, anggaran standar; kandidat kuat bila 2e-5 terlalu lambat."
3e-05,3,16,0.1,0.01,32,"Grid kombinatorial RM-a, sel lr=3e-05 / epochs=3 / batch=16; warmup 0.1 & wd 0.01 dikunci. Konvergensi cepat menghemat waktu tanpa rugi F1?"
3e-05,8,16,0.1,0.01,32,"Grid kombinatorial RM-a, sel lr=3e-05 / epochs=8 / batch=16; warmup 0.1 & wd 0.01 dikunci. lr tengah + anggaran maksimum -- titik rawan overfit."
5e-05,5,16,0.1,0.01,32,"Grid kombinatorial RM-a, sel lr=5e-05 / epochs=5 / batch=16; warmup 0.1 & wd 0.01 dikunci. Batas atas GLUE -- uji ambang catastrophic forgetting."
5e-05,3,16,0.1,0.01,32,"Grid kombinatorial RM-a, sel lr=5e-05 / epochs=3 / batch=16; warmup 0.1 & wd 0.01 dikunci. Skenario 'cepat & panas' -- paling hemat waktu bila berhasil."
5e-05,8,16,0.1,0.01,32,"Grid kombinatorial RM-a, sel lr=5e-05 / epochs=8 / batch=16; warmup 0.1 & wd 0.01 dikunci. Paling berisiko merusak bobot pra-latih -- batas atas."
2e-05,5,32,0.1,0.01,32,"Grid kombinatorial RM-a, sel lr=2e-05 / epochs=5 / batch=32; warmup 0.1 & wd 0.01 dikunci. Pasangan langsung #1, batch digandakan -- inti uji interaksi lr x batch."
2e-05,3,32,0.1,0.01,32,"Grid kombinatorial RM-a, sel lr=2e-05 / epochs=3 / batch=32; warmup 0.1 & wd 0.01 dikunci. Anggaran paling minim di grid -- batas bawah ekstrem."
2e-05,8,32,0.1,0.01,32,"Grid kombinatorial RM-a, sel lr=2e-05 / epochs=8 / batch=32; warmup 0.1 & wd 0.01 dikunci. Batch besar + epoch terbanyak; gradien lebih halus dari #1."
1e-05,5,32,0.1,0.01,32,"Grid kombinatorial RM-a, sel lr=1e-05 / epochs=5 / batch=32; warmup 0.1 & wd 0.01 dikunci. lr terkecil + update sedikit -- kandidat underfit terkuat."
1e-05,3,32,0.1,0.01,32,"Grid kombinatorial RM-a, sel lr=1e-05 / epochs=3 / batch=32; warmup 0.1 & wd 0.01 dikunci. Sel paling konservatif -- jangkar batas bawah."
1e-05,8,32,0.1,0.01,32,"Grid kombinatorial RM-a, sel lr=1e-05 / epochs=8 / batch=32; warmup 0.1 & wd 0.01 dikunci. Cukupkah epoch maksimum mengompensasi lr rendah + batch besar?"
3e-05,5,32,0.1,0.01,32,"Grid kombinatorial RM-a, sel lr=3e-05 / epochs=5 / batch=32; warmup 0.1 & wd 0.01 dikunci. Uji linear scaling rule: 3e-5 kalahkan 2e-5 saat batch digandakan?"
3e-05,3,32,0.1,0.01,32,"Grid kombinatorial RM-a, sel lr=3e-05 / epochs=3 / batch=32; warmup 0.1 & wd 0.01 dikunci. lr tengah + anggaran minim -- efisiensi ekstrem."
3e-05,8,32,0.1,0.01,32,"Grid kombinatorial RM-a, sel lr=3e-05 / epochs=8 / batch=32; warmup 0.1 & wd 0.01 dikunci. lr tengah + batch besar + epoch maksimum -- kandidat seimbang."
5e-05,5,32,0.1,0.01,32,"Grid kombinatorial RM-a, sel lr=5e-05 / epochs=5 / batch=32; warmup 0.1 & wd 0.01 dikunci. Prediksi linear scaling: lr tinggi paling masuk akal di batch besar."
5e-05,3,32,0.1,0.01,32,"Grid kombinatorial RM-a, sel lr=5e-05 / epochs=3 / batch=32; warmup 0.1 & wd 0.01 dikunci. lr agresif + update paling sedikit -- batas forgetting anggaran minim."
5e-05,8,32,0.1,0.01,32,"Grid kombinatorial RM-a, sel lr=5e-05 / epochs=8 / batch=32; warmup 0.1 & wd 0.01 dikunci. Sudut grid berlawanan dari #17 -- lr maksimum, anggaran besar."
